"시군구코드","연도","시군구명","대졸인구비율","대졸인구비율등급","여성종사자비율","여성종사자비율등급","20세미만인구성장률","20세미만인구성장률등급","투표율","투표율등급","재정자립도","재정자립도등급","경제활동인구대비종사자수","경제활동인구대비종사자수등급","1인당지역내총생산","1인당지역내총생산등급","특허출원건수","특허출원건수등급","1인당주민세","1인당주민세등급","1인당공원면적","1인당공원면적등급","도로밀도","도로밀도등급","1만인당공무원수","1만인당공무원수등급","건축허가면적증감률","건축허가면적증감률등급","주민등록인구전출입률","주민등록인구전출입률등급","폐기물재활용률","폐기물재활용률등급","1만인당사회복지시설수","1만인당사회복지시설수등급","1만인당문화체육시설수","1만인당문화체육시설수등급","1만인당축제건수","1만인당축제건수등급","비영리단체수","비영리단체수등급"
"48880","2018",경상남도 거창군,,,42.03,5,-2.91,10,,,17.92,4,0.38,5,25331.09,4,43,1,17.03,3,13.3,4,0.98,1,82.21,6,31.28,6,0.22,10,42.68,4,77.66,7,16.51,5,0.34,5,16,1
"26380","2019",부산광역시 사하구,,,43.61,6,-6.56,10,,,18.88,5,0.4,5,,,582,5,26.08,5,1.41,1,4.61,6,28.12,2,-44.56,10,-1.95,10,89.66,6,7.55,1,13.28,4,0.16,1,38,4
"28140","2019",인천광역시 동구,,,29.9,5,-8.02,10,,,34.4,6,0.68,6,,,407,4,61.64,6,1,1,7.37,6,74.99,5,-90.01,10,-2.55,10,90.34,6,10.04,1,15.55,5,0.16,2,18,1
"28170","2019",인천광역시 미추홀구,,,49.63,6,-4.14,10,,,20.51,5,0.33,4,,,499,4,17.18,3,2.61,1,14.07,7,19.19,1,-39.78,10,-1.86,10,92.97,6,6.94,1,17.96,5,0.03,1,136,7
"41150","2019",경기도 의정부시,,,53.86,6,-2.06,10,,,30.02,6,0.3,4,,,351,3,15.11,2,7.7,2,8.85,6,21.38,1,-47.69,10,1.05,8,81.7,5,9.18,1,15.29,5,0.05,1,109,6
"41170","2019",경기도 안양시,,,42.33,5,-5.59,10,,,47.92,6,0.55,6,,,2344,7,31.44,5,14.81,5,10.7,7,27.26,1,27.82,7,-1.98,10,91.3,6,6.33,1,13.68,4,,0,110,6
"41210","2019",경기도 광명시,,,44.37,6,-6.79,10,,,42.47,6,0.34,4,,,426,4,24.92,4,11.74,4,13.7,7,28.41,2,-5.02,10,-3.37,10,85.83,5,5.29,1,11.3,3,0.07,1,41,4
"41250","2019",경기도 동두천시,,,52.12,6,-5.4,10,,,29.96,6,0.35,4,,,84,1,16.97,3,18.51,5,3.28,5,70.81,5,-3.66,10,-1.21,10,75.54,5,19.36,4,22.62,5,0.22,3,23,2
"41290","2019",경기도 과천시,,,38.38,5,-3.41,10,,,54.93,7,0.66,6,,,167,1,57.73,6,142.53,7,5.41,6,98.67,6,195.59,7,0.18,10,88.63,6,7.3,1,13.85,4,0.19,2,33,4
"41630","2019",경기도 양주시,,,38.85,5,-0.67,10,,,32.48,6,0.52,5,,,459,4,21.97,4,17.86,5,5.63,6,35.81,3,84.44,7,2.42,8,91.65,6,17.95,4,21.08,5,0.05,1,36,4
