"시군구코드","연도","시군구명","노령화지수(인구총조사)","노령화지수(인구총조사)등급","인구순이동률","인구순이동률등급","인구변화율(인구총조사)","인구변화율(인구총조사)등급","평균교육년수","평균교육년수등급","독거노인가구비율","독거노인가구비율등급","기초생활수급자(천인당)","기초생활수급자(천인당)등급","소년소녀가장(천인당)","소년소녀가장(천인당)등급","노령화지수(주민등록인구통계)","노령화지수(주민등록인구통계)등급","인구변화율(주민등록인구통계)","인구변화율(주민등록인구통계)등급","고령인구수(인구총조사)","고령인구수(인구총조사)등급","고령인구수(주민등록인구통계)","고령인구수(주민등록인구통계)등급","노년부양비(인구총조사)","노년부양비(인구총조사)등급","노년부양비(주민등록인구통계)","노년부양비(주민등록인구통계)등급","세입자가구비율","세입자가구비율등급","경제활동인구(인구총조사)","경제활동인구(인구총조사)등급","경제활동인구(주민등록인구통계)","경제활동인구(주민등록인구통계)등급","종사자수(천명당)","종사자수(천명당)등급","사업체당종사자수","사업체당종사자수등급","제조업종사자비율","제조업종사자비율등급","고차산업종사자비율","고차산업종사자비율등급","재정자립도","재정자립도등급","지방세액(1인당)","지방세액(1인당)등급","지가변동률(주거)","지가변동률(주거)등급","지가변동률(상업)","지가변동률(상업)등급","의료보험료","의료보험료등급","도소매업종사자수(천명당)","도소매업종사자수(천명당)등급","총사업체수증감율","총사업체수증감율등급","총종사자수증감율","총종사자수증감율등급","도소매업체증감율","도소매업체증감율등급","제조업체증감율","제조업체증감율등급","주요산업별종사자수","주요산업별종사자수등급","총사업체수","총사업체수등급","노후주택비율","노후주택비율등급","신규주택비율","신규주택비율등급","공가율","공가율등급","부동산공시지가","부동산공시지가등급","노후건축물비율","노후건축물비율등급","소형주택비율","소형주택비율등급","주거면적(1인당)","주거면적(1인당)등급","주택보급율","주택보급율등급","접도율","접도율등급"
"41310","2002",경기도 구리시,,,3.76,8,,,,,,,20.51,3,,,22.56,1,4.54,8,,,10221,4,,,7.42,3,,,,,137680,5,210.01,5,4.29,5,8.78,2,10.59,6,50.1,6,709.1,6,0.71,4,1.09,6,,,52.38,5,5.68,7,10.93,7,4.31,7,-15.07,10,10121,4,9458,5,,,,,,,,,,,,,,,,,,
"41730","2002",경기도 여주시,,,-0.66,10,,,,,,,33.75,5,,,56.66,5,-0.26,10,,,11732,5,,,16.31,6,,,,,71942,3,242.43,5,4.38,5,25.66,6,5.45,5,36.9,6,662.54,6,1.03,5,0.93,5,,,34.8,4,-0.4,1,1.22,1,0.36,5,-5.56,10,6494,2,5780,3,,,,,,,,,,,,,,,,,,
"42770","2002",강원도 정선군,,,4.36,8,,,,,,,37.23,5,,,71.38,6,4.44,8,,,5943,2,,,16.08,5,,,,,36957,1,261.61,5,4.09,5,6.9,1,3.74,4,20,4,545.05,5,2.56,7,3.42,7,,,33.89,4,-2.79,10,4.3,6,-3.75,10,1.64,7,2111,1,3280,1,,,,,,,,,,,,,,,,,,
"42810","2002",강원도 인제군,,,-2.15,10,,,,,,,48.48,6,,,56.83,5,-1.95,10,,,3710,1,,,16.7,6,,,,,22209,1,204.67,5,2.69,4,6.17,1,5.54,5,15.8,4,344.42,4,0.35,1,0.32,1,,,38.46,5,-0.28,1,-0.51,1,-1.63,10,-28.74,10,1932,1,2472,1,,,,,,,,,,,,,,,,,,
"43740","2002",충청북도 영동군,,,-2.18,10,,,,,,,48.45,6,,,111.95,6,-2.5,10,,,9659,4,,,25.78,6,,,,,37465,1,227.44,5,3.85,5,19.43,5,4.74,5,14.3,3,285.33,4,0.13,1,0,1,,,37.33,5,-1.23,1,9.58,7,-3.88,10,0.52,6,2464,1,3290,1,,,,,,,,,,,,,,,,,,
"41210","2013",경기도 광명시,,,-1.43,10,,,,,,,12.69,2,,,56.96,2,-0.69,10,,,32599,6,,,12.38,3,,,,,263274,6,220.66,4,4.87,5,18.59,5,5.36,6,49.5,6,1102.15,6,0.14,6,-0.07,1,50837857.79,6,43.48,5,-0.12,1,2.39,4,0.53,1,0.93,1,15353,5,16000,6,,,,,,,,,63.2,6,,,,,,,,
"41270","2013",경기도 안산시,,,-0.77,10,,,,,,,19.69,4,,,46.34,1,-0.2,1,,,51663,6,,,9.38,2,,,,,550521,7,410.52,6,6.61,6,42.76,7,3.9,5,55.9,7,881.33,5,0.21,6,0.07,5,109278413.07,7,47.88,5,2.15,5,2.85,5,2.76,5,2.66,4,125289,7,44345,7,,,,,,,,,30.04,4,,,,,,,,
"41280","2013",경기도 고양시,,,1.7,7,,,,,,,13.37,3,,,64.29,3,2.13,7,,,99028,7,,,13.43,4,,,,,737512,7,249.87,5,4.9,5,10.41,4,7.42,6,54.7,7,878.28,5,0.18,6,0.02,1,165900191.67,7,48.62,5,3.04,6,2.56,4,5.35,6,3.15,4,48157,7,50562,7,,,,,,,,,15.82,1,,,,,,,,
"45130","2003",전라북도 군산시,,,-1.57,10,,,,,,,53.74,6,,,47.48,4,-1.24,10,,,25281,6,,,13.3,5,,,,,190115,6,246.85,5,4.04,5,21.26,5,6.13,6,31.5,6,418.54,5,0.11,1,-0.29,1,,,45.83,5,0.35,1,-5.37,10,-0.7,10,-7.65,10,14100,5,16417,6,,,,,,,,,,,,,,,,,,
"45720","2003",전라북도 진안군,,,0.66,9,,,,,,,73.63,6,,,147.93,7,0.12,10,,,6444,2,,,32.75,6,,,,,19675,1,180.87,4,3.35,5,13.79,4,5.59,5,12.7,3,228.67,2,0.41,4,0,1,,,29.24,4,-1.5,10,-4.17,10,-5.14,10,3.85,10,891,1,1643,1,,,,,,,,,,,,,,,,,,
