,시군구명,물리환경,과거대비인구변화,최근인구변화,과거대비사업체변화,최근사업체변화,노후건축물비율,시군구코드,20세미만인구성장률,재정자립도,경제활동인구대비종사자수,특허출원건수,1인당주민세,1인당공원면적,도로밀도,1만인당공무원수,주민등록인구전출입률,폐기물재활용률,1만인당사회복지시설수,1만인당문화체육시설수,1만인당축제건수,cluster
60,대전광역시 서구,1,-4.272,3,1.504,0.0,66.08,30170,-3.97,21.16,0.42,728.0,22.7,13.64,2.07,15.47,-0.91,68.49,6.95,15.98,0.06,1
61,대전광역시 대덕구,1,-16.259,5,-0.091,1.0,69.106,30230,-8.19,20.42,0.61,1097.0,66.39,5.17,3.72,32.19,-2.66,27.94,10.35,21.67,0.28,2
62,울산광역시 중구,1,-0.849,4,2.15,0.0,72.26,31110,-7.16,19.51,0.27,282.0,18.41,15.34,5.32,29.66,-3.74,86.63,5.36,13.86,0.05,1
63,울산광역시 남구,1,-1.083,5,1.814,0.0,61.162,31140,-5.9,37.49,0.63,561.0,60.76,36.58,3.88,25.32,-2.28,80.32,5.46,15.83,0.06,2
64,울산광역시 동구,1,-11.081,5,-2.521,2.0,61.378,31170,-6.26,22.33,0.56,199.0,86.23,28.44,3.67,33.57,-3.37,77.36,5.02,13.8,0.06,2
65,세종특별자치시 세종시,1,0.0,0,15.458,0.0,50.8,36110,6.08,72.72,0.37,813.0,27.05,66.32,6.45,12.23,7.24,84.01,16.38,13.65,0.06,0
80,강원도 춘천시,1,0.645,1,3.24,0.0,50.187,42110,-3.47,26.95,0.45,877.0,20.84,13.77,1.24,59.02,0.26,85.5,21.8,24.6,0.22,0
81,강원도 강릉시,1,-6.761,2,2.134,1.0,57.406,42150,-3.57,20.92,0.46,340.0,22.92,22.69,1.13,64.27,0.56,90.55,21.94,22.36,0.47,0
82,강원도 동해시,1,-7.436,5,-1.219,1.0,62.311,42170,-4.99,20.09,0.44,50.0,28.59,48.82,3.66,76.54,-0.58,95.09,18.7,25.83,0.12,1
83,강원도 태백시,1,-59.297,5,-0.929,1.0,70.049,42190,-7.84,22.66,0.49,23.0,20.24,64.21,0.75,149.62,-1.89,89.53,31.35,47.74,0.47,1
